DOI,Year,Journal,Membrane,MWCO,solvent_name,rejection,solvent_smiles,Temperature,Process configuration,solute_smiles,smiles,dm300
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,1,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(CC(C(C)(C)C(C%15=CC=CC=C%15)(C)C)C%16=CC=CC=C%16)C%17=CC=CC=C%17,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C9=CC=CC=C9)CC(C%10=CC=CC=C%10)CC(C%11=CC=CC=C%11)CC(C%12=CC=CC=C%12)CC(C%13=CC=CC=C%13)CC(C%14=CC=CC=C%14)CC(CC(C(C)(C)C(C%15=CC=CC=C%15)(C)C)C%16=CC=CC=C%16)C%17=CC=CC=C%17.CCO,0.9111234489865383
10.1021/acssuschemeng.5b00734,2015,ASCECG,DM300,300,Ethanol,0.9,CCO,23,CF,OCC[P](CCCC)(CCCC)CCCC.[I],OCC[P](CCCC)(CCCC)CCCC.[I].CCO,0.7779909405627333
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.95,CCO,25,CF,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2.CCO,0.9735187423136196
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.99,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(CC(C(C)(C)C(C8=CC=CC=C8)(C)C)C9=CC=CC=C9)C%10=CC=CC=C%10.CCO,0.9203558092658121
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.99,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO,0.922679041777964
10.1021/op400037h,2013,OPRD,DM300,300,Tetrahydrofuran,0.9,C1CCCO1,20,DE,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.C1CCCO1,0.7621198663349104
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.94,CCO,25,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9591095963148852
10.1039/c2gc36407g,2013,Green Chem,DM300,300,Tetrahydrofuran,1,C1CCCO1,20,CF,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OCC4=CC(CO[C@H](C5=CC=NC6=CC=C(C=C56)O)[C@@]7(C[C@@H]8CC[N@]7C[C@@H]8C=C)[H])=CC(CO[C@H](C9=CC=NC%10=CC=C(C=C9%10)O)[C@@]%11(C[C@@H]%12CC[N@]%11C[C@@H]%12C=C)[H])=C4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OCC4=CC(CO[C@H](C5=CC=NC6=CC=C(C=C56)O)[C@@]7(C[C@@H]8CC[N@]7C[C@@H]8C=C)[H])=CC(CO[C@H](C9=CC=NC%10=CC=C(C=C9%10)O)[C@@]%11(C[C@@H]%12CC[N@]%11C[C@@H]%12C=C)[H])=C4)C[C@@H]%13CC[N@]1C[C@@H]%13C=C.C1CCCO1,0.9671307589696225
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.97,CCO,25,CF,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2,CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2.CCO,0.9735187423136196
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.98,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(CC(C(C)(C)C(C7=CC=CC=C7)(C)C)C8=CC=CC=C8)C9=CC=CC=C9.CCO,0.922679041777964
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.95,CCO,25,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9591095963148852
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.98,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9254953545016438
10.1016/j.jfoodeng.2010.07.020,2011,Journal of Food Engineering,DM300,300,Ethyl acetate,0.92,CC(OCC)=O,30,CF,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C.CC(OCC)=O,0.9152647335973129
10.1016/j.cherd.2010.07.002,2011,chemical engineering research and design,DM300,300,Ethanol,0.91,CCO,25,CF,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O.CCO,0.8961937662977973
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.94,CCO,25,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9468679873457504
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.98,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9289859692162352
10.1016/j.jfoodeng.2010.07.020,2011,Journal of Food Engineering,DM300,300,Ethyl acetate,0.7,CC(OCC)=O,30,CF,OC(CCCCCCC/C=C/CCCCCCCC)=O,OC(CCCCCCC/C=C/CCCCCCCC)=O.CC(OCC)=O,0.9231367323130911
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.96,CCO,25,CF,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3,CC(CC(C(C)(C)C(C1=CC=CC=C1)(C)C)C2=CC=CC=C2)C3=CC=CC=C3.CCO,0.9591095963148852
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.97,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9254953545016438
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.95,CCO,25,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9468679873457504
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.94,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9392541167772045
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.97,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9289859692162352
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.97,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(CC(C(C)(C)C(C5=CC=CC=C5)(C)C)C6=CC=CC=C6)C7=CC=CC=C7.CCO,0.9289859692162352
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.96,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(CC(C(C)(C)C(C6=CC=CC=C6)(C)C)C7=CC=CC=C7)C8=CC=CC=C8.CCO,0.9254953545016438
10.1016/j.jfoodeng.2010.07.020,2011,Journal of Food Engineering,DM300,300,Ethyl acetate,0.97,CC(OCC)=O,30,CF,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C,CC(CCC=C(C)C)C1CCC2(C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)OC(=O)C=CC6=CC(=C(C=C6)O)OC)C)C.CC(OCC)=O,0.9152647335973129
10.1016/j.cherd.2010.07.002,2011,chemical engineering research and design,DM300,300,Ethanol,0.94,CCO,25,CF,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O.CCO,0.9371177445526854
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.96,CCO,25,CF,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4,CC(C1=CC=CC=C1)CC(CC(C(C)(C)C(C2=CC=CC=C2)(C)C)C3=CC=CC=C3)C4=CC=CC=C4.CCO,0.9468679873457504
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.95,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9392541167772045
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.96,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6.CCO,0.9334102276086094
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.95,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(CC(C(C)(C)C(C4=CC=CC=C4)(C)C)C5=CC=CC=C5)C6=CC=CC=C6.CCO,0.9334102276086094
10.1016/j.cherd.2010.07.002,2011,chemical engineering research and design,DM300,300,Ethanol,0.95,CCO,25,CF,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O.CCO,0.9371177445526854
10.1016/j.cherd.2010.07.002,2011,chemical engineering research and design,DM300,300,Ethanol,0.88,CCO,25,CF,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O.CCO,0.8961937662977973
10.1016/j.memsci.2018.12.077,2019,Journal of Membrane Science,DM300,300,Ethanol,0.96,CCO,25,CF,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(CC(C(C)(C)C(C3=CC=CC=C3)(C)C)C4=CC=CC=C4)C5=CC=CC=C5.CCO,0.9392541167772045
10.1002/cctc.201500902,2016,ChemCatChem,DM300,300,Ethanol,0.99,CCO,23,CF,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C,[H][C@@]1([C@@H](C2=CC=NC3=CC=C(C=C23)O)OC(C45CC6CC(C5)CC(C6)C4)=O)C[C@@H]7CC[N@]1C[C@@H]7C=C.CCO,1.002650416775118
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.4419,CCO,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CCO,0.5808757290943674
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.7476,CCO,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CCO,0.7176503452958707
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8542,CCO,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CCO,0.9279084707833111
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.9236,CCO,25,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CCO,0.8317824892215914
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.9129,CCO,25,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CCO,0.9424390002254006
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8937,CCO,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CCO,0.9395136511449564
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8419,CCO,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CCO,0.8810074938505641
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.5208,CCO,25,CF,CCCCCCCCCC,CCCCCCCCCC.CCO,0.6483423297653623
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.5678,CCO,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CCO,0.681111339361126
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6048,CCO,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CCO,0.7066237235434063
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6328,CCO,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CCO,0.7267887778535591
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6837,CCO,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CCO,0.7431486967598151
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.8484,CCO,25,CF,O=C1CNC(C(C(C)C)N1)=O,O=C1CNC(C(C(C)C)N1)=O.CCO,0.7977664796374955
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.834,CCO,25,CF,O=C1C(C)NC(C(C)N1)=O,O=C1C(C)NC(C(C)N1)=O.CCO,0.7867435767744658
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,Ethanol,0.6076,CCO,25,CF,O=C1CNC(CN1)=O,O=C1CNC(CN1)=O.CCO,0.6098206678576492
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.18,CC(O)C,25,CF,OC1=CC=CC=C1C(N)=O,OC1=CC=CC=C1C(N)=O.CC(O)C,0.3227792531211374
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.59,CC(O)C,25,CF,O=C(C)NC1=CC=C(O)C=C1,O=C(C)NC1=CC=C(O)C=C1.CC(O)C,0.47652068875600107
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.79,CC(O)C,25,CF,O=C(O)C1=CC=CC=C1OC(C)=O,O=C(O)C1=CC=CC=C1OC(C)=O.CC(O)C,0.7271419189834569
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.9,CC(O)C,25,CF,N[C@@H](C)C(OC1=CC=CC=C1)=O,N[C@@H](C)C(OC1=CC=CC=C1)=O.CC(O)C,0.584723339303544
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.79,CC(O)C,25,CF,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O.CC(O)C,0.7653116540989806
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.85,CC(O)C,25,CF,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,C=C(CC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2.CC(O)C,0.7718869583222522
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.77,CC(O)C,25,CF,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O,CC(C(OC)=O)(C)CC(C)(C(OC)=O)CC(OC)=O.CC(O)C,0.7527716682880955
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.55,CC(O)C,25,CF,CCCCCCCCCC,CCCCCCCCCC.CC(O)C,0.5538102369692385
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.62,CC(O)C,25,CF,CCCCCCCCCCCC,CCCCCCCCCCCC.CC(O)C,0.5950904251776313
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.65,CC(O)C,25,CF,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC.CC(O)C,0.6280119369372977
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.67,CC(O)C,25,CF,CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC.CC(O)C,0.6546872827638428
10.1016/j.seppur.2021.118492,2021,Separation and Purification Technology,DM300,300,2-Propanol,0.7,CC(O)C,25,CF,CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC.CC(O)C,0.6766370237414353
